"id","country_id:id","name","code"
state_vn_VN-44,base.vn,An Giang,89
state_vn_VN-57,base.vn,Bình Dương,74
state_vn_VN-31,base.vn,Bình Định,52
state_vn_VN-54,base.vn,Bắc Giang,24
state_vn_VN-53,base.vn,Bắc Kạn,06
state_vn_VN-55,base.vn,Bạc Liêu,95
state_vn_VN-56,base.vn,Bắc Ninh,27
state_vn_VN-58,base.vn,Bình Phước,70
state_vn_VN-43,base.vn,Bà Rịa - Vũng Tàu,77
state_vn_VN-40,base.vn,Bình Thuận,60
state_vn_VN-50,base.vn,Bến Tre,83
state_vn_VN-04,base.vn,Cao Bằng,04
state_vn_VN-59,base.vn,Cà Mau,96
state_vn_VN-CT,base.vn,TP Cần Thơ,92
state_vn_VN-71,base.vn,Điện Biên,11
state_vn_VN-33,base.vn,Đắk Lắk,66
state_vn_VN-DN,base.vn,TP Đà Nẵng,48
state_vn_VN-39,base.vn,Đồng Nai,75
state_vn_VN-72,base.vn,Đắk Nông,67
state_vn_VN-45,base.vn,Đồng Tháp,87
state_vn_VN-30,base.vn,Gia Lai,64
state_vn_VN-14,base.vn,Hòa Bình,17
state_vn_VN-SG,base.vn,TP Hồ Chí Minh,79
state_vn_VN-61,base.vn,Hải Dương,30
state_vn_VN-73,base.vn,Hậu Giang,93
state_vn_VN-03,base.vn,Hà Giang,02
state_vn_VN-HN,base.vn,Hà Nội,01
state_vn_VN-63,base.vn,Hà Nam,35
state_vn_VN-HP,base.vn,TP Hải Phòng,31
state_vn_VN-23,base.vn,Hà Tĩnh,42
state_vn_VN-66,base.vn,Hưng Yên,33
state_vn_VN-47,base.vn,Kiên Giang,91
state_vn_VN-34,base.vn,Khánh Hòa,56
state_vn_VN-28,base.vn,Kon Tum,62
state_vn_VN-41,base.vn,Long An,80
state_vn_VN-02,base.vn,Lào Cai,10
state_vn_VN-01,base.vn,Lai Châu,12
state_vn_VN-35,base.vn,Lâm Đồng,68
state_vn_VN-09,base.vn,Lạng Sơn,20
state_vn_VN-22,base.vn,Nghệ An,40
state_vn_VN-18,base.vn,Ninh Bình,37
state_vn_VN-67,base.vn,Nam Định,36
state_vn_VN-36,base.vn,Ninh Thuận,58
state_vn_VN-68,base.vn,Phú Thọ,25
state_vn_VN-32,base.vn,Phú Yên,54
state_vn_VN-24,base.vn,Quảng Bình,44
state_vn_VN-13,base.vn,Quảng Ninh,22
state_vn_VN-27,base.vn,Quảng Nam,49
state_vn_VN-29,base.vn,Quảng Ngãi,51
state_vn_VN-25,base.vn,Quảng Trị,45
state_vn_VN-05,base.vn,Sơn La,14
state_vn_VN-52,base.vn,Sóc Trăng,94
state_vn_VN-20,base.vn,Thái Bình,34
state_vn_VN-46,base.vn,Tiền Giang,82
state_vn_VN-21,base.vn,Thanh Hóa,38
state_vn_VN-69,base.vn,Thái Nguyên,19
state_vn_VN-37,base.vn,Tây Ninh,72
state_vn_VN-07,base.vn,Tuyên Quang,08
state_vn_VN-26,base.vn,Thừa Thiên Huế,46
state_vn_VN-51,base.vn,Trà Vinh,84
state_vn_VN-49,base.vn,Vĩnh Long,86
state_vn_VN-70,base.vn,Vĩnh Phúc,26
state_vn_VN-06,base.vn,Yên Bái,15